seq,type,uptime_ms,t_us,slot_id,sync,frame_ctr,rssi,snr,tx_done,rx_done,rx_crc_err,rx_bad_header,slot_timeouts,stale_retx,busy_timeouts,rx_ok,missed,dup,payload
359,rx,1946762,20558114,0,RUNNING,93,-65,7,,,,,,,,,,,
360,tx,1946762,0,1,RUNNING,,,,,,,,,,,,,,
361,tx,1946782,0,1,RUNNING,,,,,,,,,,,,,,
362,rx,1946842,20758113,0,RUNNING,94,-64,7,,,,,,,,,,,
363,tx,1946842,0,1,RUNNING,,,,,,,,,,,,,,
364,tx,1947016,0,1,RUNNING,,,,,,,,,,,,,,
365,rx,1947036,20958113,0,RUNNING,95,-64,8,,,,,,,,,,,
366,tx,1947036,0,1,RUNNING,,,,,,,,,,,,,,
367,tx,1947136,0,1,RUNNING,,,,,,,,,,,,,,
368,rx,1947272,21158112,0,RUNNING,96,-65,8,,,,,,,,,,,
369,tx,1947272,0,1,RUNNING,,,,,,,,,,,,,,
370,tx,1947332,0,1,RUNNING,,,,,,,,,,,,,,
371,tx,1947393,0,1,RUNNING,,,,,,,,,,,,,,
372,rx,1947525,21358112,0,RUNNING,97,-65,8,,,,,,,,,,,
373,tx,1947525,0,1,RUNNING,,,,,,,,,,,,,,
374,stats,1947525,8290,0,RUNNING,,0,0,93,96,1,0,0,0,0,96,0,0,
375,tx,1947585,0,1,RUNNING,,,,,,,,,,,,,,
376,tx,1947626,0,1,RUNNING,,,,,,,,,,,,,,
377,rx,1947646,21558111,0,RUNNING,98,-65,8,,,,,,,,,,,
378,tx,1947646,0,1,RUNNING,,,,,,,,,,,,,,
379,tx,1947779,0,1,RUNNING,,,,,,,,,,,,,,
380,rx,1947840,21758109,0,RUNNING,99,-64,8,,,,,,,,,,,
381,tx,1947840,0,1,RUNNING,,,,,,,,,,,,,,
382,rx,1948034,21958109,0,RUNNING,100,-64,7,,,,,,,,,,,
383,tx,1948034,0,1,RUNNING,,,,,,,,,,,,,,
